date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:08	6184/6184	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:06%20GMT	https://fastprintseva.xyz/	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/index.html	(from )
11:26:09	4861/4861	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jun%202022%2005:56:09%20GMT	https://fastprintseva.xyz/robots.txt		(from )
11:26:12	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/fastprintseva/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://fastprintseva.xyz/)
11:26:14	559/559	---MCZ	200	added ('OK')	text/css	etag:W/%225bfd84b2-22f%22	https://pattern.kivan-works.com/fonts/kredit.css	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/kredit.css	(from https://fastprintseva.xyz/)
11:26:14	6184/6184	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:14%20GMT	https://fastprintseva.xyz/index.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/index-2.html	(from https://fastprintseva.xyz/)
11:26:15	2581/2581	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:15%20GMT	https://fastprintseva.xyz/about.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/about.html	(from https://fastprintseva.xyz/)
11:26:15	2784/2784	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:15%20GMT	https://fastprintseva.xyz/contact.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/contact.html	(from https://fastprintseva.xyz/)
11:26:15	2729/2729	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:15%20GMT	https://fastprintseva.xyz/privacypolicy.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/privacypolicy.html	(from https://fastprintseva.xyz/)
11:26:16	2611/2611	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:16%20GMT	https://fastprintseva.xyz/terms.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/terms.html	(from https://fastprintseva.xyz/)
11:26:16	2619/2619	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:16%20GMT	https://fastprintseva.xyz/refund.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/refund.html	(from https://fastprintseva.xyz/)
11:26:17	18183/18183	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:17%20GMT	https://fastprintseva.xyz/reg.php	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/reg.html	(from https://fastprintseva.xyz/)
11:26:19	166327/166327	---MC-	200	added ('OK')	text/javascript	date:Fri,%2010%20Jun%202022%2005:56:18%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4602408633246044	C:/My%20Web%20Sites/fastprintseva/pagead2.googlesyndication.com/pagead/js/f7699.txt	(from https://fastprintseva.xyz/)
11:26:20	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/fastprintseva/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://fastprintseva.xyz/)
11:26:22	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/fastprintseva/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://fastprintseva.xyz/)
11:26:25	446676/446676	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%226d0d4-4c538850e7400%22	https://pattern.kivan-works.com/fonts/kredit.ttf	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/kredit.ttf	(from https://pattern.kivan-works.com/fonts/kredit.css)
11:26:27	63440/63440	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22f7d0-4c53884ff31c0%22	https://pattern.kivan-works.com/fonts/kredit_back.ttf	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/kredit_back.ttf	(from https://pattern.kivan-works.com/fonts/kredit.css)
11:26:29	60132/60132	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22eae4-4c53884ff31c0%22	https://pattern.kivan-works.com/fonts/kredit_front.ttf	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/kredit_front.ttf	(from https://pattern.kivan-works.com/fonts/kredit.css)
11:26:30	197956/197956	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2230544-4c538850e7400%22	https://pattern.kivan-works.com/fonts/kredit_shine.ttf	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/kredit_shine.ttf	(from https://pattern.kivan-works.com/fonts/kredit.css)
11:26:33	920524/920524	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22e0bcc-57b3548a7e880%22	https://pattern.kivan-works.com/fonts/Beyond_Infinity.ttf	C:/My%20Web%20Sites/fastprintseva/pattern.kivan-works.com/fonts/Beyond_Infinity.ttf	(from https://pattern.kivan-works.com/fonts/kredit.css)
11:26:33	4107/4107	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:33%20GMT	https://fastprintseva.xyz/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/cdn-cgi/l/email-protection.html	(from https://fastprintseva.xyz/contact.php)
11:26:34	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22629796aa-4d7%22	https://fastprintseva.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://fastprintseva.xyz/contact.php)
11:26:35	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/fastprintseva/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://fastprintseva.xyz/reg.php)
11:26:35	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/fastprintseva/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://fastprintseva.xyz/reg.php)
11:26:36	85276/85276	---M-Z	200	added ('OK')	application/javascript	etag:%2262a1ec98-70c9%22	https://checkout.razorpay.com/v1/checkout.js	C:/My%20Web%20Sites/fastprintseva/checkout.razorpay.com/v1/checkout.js	(from https://fastprintseva.xyz/reg.php)
11:26:37	1339/1339	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2005:56:37%20GMT	https://fastprintseva.xyz/regpaytm/index.php?data=	C:/My%20Web%20Sites/fastprintseva/fastprintseva.xyz/regpaytm/indexd886.html	(from https://fastprintseva.xyz/reg.php)
11:26:39	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%225bf26e21-41%22	https://pattern.kivan-works.com/robots.txt		(from https://pattern.kivan-works.com/fonts/kredit.css)
